_M_Barrio_mut0,edu.uclm.esi.iso5.juegos.monopoly.dominio.Barrio,todasLasCallesPertenecenAlMismo,||,&&
_M_Jugador_mut80,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,comprar,==,<
_M_Jugador_mut81,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,comprar,==,>
_M_Jugador_mut82,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,comprar,==,<=
_M_Jugador_mut83,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,comprar,==,>=
_M_Jugador_mut84,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,pagarA,<,==
_M_Jugador_mut85,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,pagarA,<,!=
_M_Jugador_mut86,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,pagarA,<,>
_M_Jugador_mut87,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,pagarA,<,<=
_M_Jugador_mut88,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,pagarA,<,>=
_M_Jugador_mut89,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,addTarjeta,==,!=
_M_Jugador_mut90,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,addTarjeta,==,<
_M_Jugador_mut91,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,addTarjeta,==,>
_M_Jugador_mut92,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,addTarjeta,==,<=
_M_Jugador_mut93,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,addTarjeta,==,>=
_M_Jugador_mut94,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,addTarjeta,==,!=
_M_Jugador_mut95,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,addTarjeta,==,<
_M_Jugador_mut96,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,addTarjeta,==,>
_M_Jugador_mut97,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,addTarjeta,==,<=
_M_Jugador_mut98,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,addTarjeta,==,>=
_M_Jugador_mut99,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,puedeHipotecarHasta,/,+
_M_Jugador_mut100,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,puedeHipotecarHasta,/,-
_M_Jugador_mut101,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,puedeHipotecarHasta,/,*
_M_Jugador_mut102,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,puedeHipotecarHasta,/,%
